sentiment,negative_reason,text
positive,,bernier xc xa said party retain legal advice xc xa use tools disposal get answers conservative party canada potential role campaign n elxn  electioncommission n electionfraud  nocpc n
positive,,big shout morning fantastic team canvassers n nthe amazing momentum behind campaign keeps growing hear doorsteps see everyone shows contribute n nheading toward exciting election day monday n n elxn  cdnpoli  yyj  votekooy
negative,Others,blackface trudeau secret flight u paying nicely dogdamn member fraudulent canadians media hounded n nwe defrauded watchdog media independent public service canada compromized n n elxn n
negative,Scandal,trudeau make rich many big shareholders ties liberal government n ngerry butts wife appointed aphria board latest annual director fee n neverything trudeau enrich liberal insiders n n elxn  cdnpoli
negative,Tell lies,please address lying parties policy law restricts campaign chit chat wtf far heard much cons  elxn
negative,Others,please get someone better clowns running office four major parties election tell ppc absolute shit n n elxn  cdnpoli
positive,,canadians across country ready change let give n n yqg  cdnpoli  elxn
negative,Economy,canadians know politics aside election victory really winning right steal taxpayers degree one wins degree one steals blood vampires n nbat simple n n corruptiondwarfsclimatechange  elxn  cdnpoli
negative,Separation,challenging times justin trudeau watch bloc risen ashes talk separation air alberta  cdnpoli  elxn  ableg
negative,Tell lies,checked year old mother year old father  elxn live lachine quebec n nmad trudeau feels ottawa wasting much money however like scheer either says lies much n nleaning towards voting time n n cdnpoli
negative,Economy,cite one policy measure specific trudeau last years government directly increased gdp employment prevailing economic orthodoxy monetarism predates trudeau allow even tax spend liberal  cdnpoli  elxn
positive,,c mon  yeg elect ottawa needs randy  elxn
positive,,c mon vancouver granville kick jwr butt voting true liberal candidate n cdnpoli  elxn  chooseforward
negative,Scandal,conservative leader andrew scheer refusing say whether party hired consulting firm attack people party canada  cdnpoli  elxn
positive,,consider also conservatives embarrassed campaign know hoping lack enthusiasm scheer exuberance see jt appearances another years solid liberal government n elxn  cdnpoli
positive,,considering casting ballot local ppc candidate upcoming  elxn add cage rattling cpc incumbent really fine choice region neighbouring constituency incumbent swell
negative,Scandal,cpc partisans trudeau unethical must go n nsame partisans cares scheer paid rd party undermine another party campaign campaigning blood sport n nand let forget cpcldr phantom ballots n n cdnpoli  elxn  ppc
negative,Scandal,cpc put press release asking trudeau would answer questions knew repulsive smear see thread yet scheer answer questions working paying man involved pushing defamatory campaign  elxn  cdnpoli
negative,Scandal,cpc hiring voldemort gin racist content bernier make supporters seem worse cpc supporters nearly worked  cdnpoli  elxn
negative,Scandal,ctv news scheer say conservatives hired consultant destroy people party n nwhat fucking snake  cdnpoli  elxn n
positive,,dear n nsemper necessitas probandi incumbit ei qui agit n nthe person makes accusations onus prove n nit call burden proof n n  cdnpoli  elxn
negative,Climate Problem,dear guys plan funding spendapalooza killing alberta let guess huge increase climate problemes hst others like taxing home sales  elxn  elxn
negative,Tell lies,realized ndp surge even come close surpass best polls weird  cdnpoli  elxn
positive,,ever dream change world make history contribute something worth vote green october st let change want see  vote  votegreen  yorksimcoe  greenparty  voteforhope  canadaelection  cdnpoli  elxn
negative,Women Reproductive right and Racism,believe promises open abortion debate nothing  scheerlies  elxn n chooseforwardwithtrudeau
negative,Scandal,fine apply nscheer say conservatives hired consultant destroy people party n  elxn
positive,,get much better n nvote wisely canada n elxn  cdnpoli  canadavotes
positive,,one approx million eligible canadians bother show maybe things change please go vote check statscan table bottom  elxn  ohcanada  atrophythroughapathy
positive,,miss bnn bloomberg federal election coverage starting monday p et p pt  cdnpoli  elxn
negative,Others,stop n n cdnpoli  elxn
positive,,dozens enthusiastic supporters cheer heartily minister mckenna reelection  elxn
positive,,dr samir sinha head geriatrics toronto mount sinai hospital university health network calling parties  elxn support unpaid caregivers urging federal parties commit national seniors strategy
positive,,dufferin caledon peeps michele geniune hardworking candidate represent long ignored interests well time change vote michele fisher  chooseforward  elxn
positive,,e days  elxn heading  singh thewin rally feel
positive,,enough fear keep voting strategically stuck party system need vote want get back system canada built n elxn  cdnpoli  canadavotes
negative,Climate Problem,environment climate change squeezed usual economic issues top voter concerns yet little substance offered campaigns except green party leader  canpoli  elxn  elxn
negative,Others,even  cpc realize unfit lead  canada  canadians knowing  kinsellagate undermined  elxn surprised leads violence quote let country fall hands bunch animals
negative,Tell lies,even facebook fake news finders label buffalo website bogus trust buffalo chronical stupid vote  elxn via
negative,Economy,even rich know keep letting currently legal article jon mcphedran waitzer claire trottier david gray donald extremely wealthy canadians n nit time actually tax rich n n yqg  cdnpoli  elxn n
negative,Tell lies,even scheer dual citizenship issue green leader elizabeth may still given us citizenship away n nwhat else hiding voters n nabsolute xf x f x xa n n cdnpoli  elxn n n
positive,,experts say populism occur either side political spectrum characterized deep disaffection political class  elxn via
positive,,experts say populism occur either side political spectrum characterized deep disaffection political class  elxn via
negative,Tell lies,expos xc xa people concerned respect women rights  scheer cons conning choice using anti abortion group recruit mps staff critical policy formation  cdnpoli  elxn  cpc
negative,Scandal,ffs many questions ask mill media payoff canadians know media bite hand feeds  elxn  cdnpoli  zerocredibility
positive,,anyone opposed lowering voting age n ni would like present thread exhibit showing n n cdnpoli  elxn
positive,,people saying gona vote cz politically engaged let tell smthing poc minority muslim matter whole existence country political better vote  elxn  cdnelxn  
negative,Scandal,frankly think  cpc needed hire consulting firm smear sad sack  racist losers pretty damn good job  cdnpoli  elxn
positive,,fresh numbers show tight three way race bc ndp liberals statistical tie first conservative close behind third place green polling fourth hope win seats vancouver island  cdnpoli  elxn
negative,Climate Problem,get  teamtrudeau campaign cargo air miles still n noctober flight   day toronto  yyz back montreal  ymx n nso far today burned little litres jet fuel n n twoplanetrudeau xe x c x xe x c x  cdnpoli  elxn
negative,Others,getting bent shape political consultancy helping political party ridiculous particularly arm length conflicts interest kickbacks vendors endemic canadian political ecosystem databases worst  cdnpoli  elxn
positive,,getting ready hit doorsteps phones across country today help elect bold climate champions volunteers shift   n nwe inspired grateful thank xf x f x x c xf x f x x c n cooperate climate  elxn
positive,,given numbers advance voters would seem percent voters cast votes moose jaw lake centre lanigan basically decided  skpoli  cdnpoli  elxn
positive,,given state federation better offering good wishes sister  cdnpoli  elxn
positive,,god grant serenity accept things cannot change courage change things wisdom know difference n n yyc  eastcalgary  ableg  cdnpoli  elxn
negative,Others,good read experts dispute cpc leader claims gentle reminder research stay informed ahead  elxn n
positive,,great move hope conservatives follow leader scheer words move forward long someone apologizes n nhumans make mistakes greatt apologize n n cdnpoli  elxn
positive,,green party election climate plan gets top marks municipalities via  climatecrisis  elxn  cdnelxn  youthforclimate  bcpoli  onpoli  peipoli  nspoli  nbpoli
positive,,green party election climate plan gets top marks municipalities via  cdnpoli   elxn  climatecrisis
positive,,seen campaign ad watch n n  elxn let hand party power vote n nvote candidates get  electoralreform back table make every vote count
